hru;band;precip;pet;z;is_channel;edges;area;geom;sf_type;sf_param;rz_type;rz_param;uz_type;uz_param;sz_type;sz_param;uid;name;s_sf;s_rz;s_uz;s_sz
13;1;precip;precip;443.673034667969;FALSE;{"hru":[2361,2441,2519,2135,2363,2208,2284,2521],"width":[0.105646841481432,0.150091552734375,0.137170795988768,0.00772857666015625,0.0887847900390625,0.00766978233957607,0.0399459838867188,0.107299807162551],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351414 512364, 351414 512404, 351454 512404, 351454 512364, 351414 512364));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
14;1;precip;precip;424.790618896484;FALSE;{"hru":[5589,5633,5681,5448,5544,5398,5498,5590],"width":[0.0428800013701107,0.0610427856445312,0.0570170658850289,0.00884017944335938,0.0239494323730469,0.00479489522642977,0.0169830322265625,0.0367628414947184],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351654 512364, 351654 512404, 351694 512404, 351694 512364, 351654 512364));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
15;1;precip;precip;450.146911621094;FALSE;{"hru":[1398,1269,1157,59],"width":[0.107295491325263,0.0754737854003906,0.0254213605827885,0.0131355285644531],slope:[14.1421356237309,20,14.1421356237309,20]};1600;POLYGON ((352414 512364, 352414 512404, 352454 512404, 352454 512364, 352414 512364));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
16;1;precip;precip;516.238037109375;FALSE;{"hru":[338,164,60,110,224],"width":[0.0706804672576421,0.0310836791992187,0.0103321144663122,0.023944091796875,0.0271347479859321],slope:[14.1421356237309,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((349334 512324, 349334 512364, 349374 512364, 349374 512324, 349334 512324));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
17;1;precip;precip;457.272125244141;FALSE;{"hru":[1977,223,285,165,166,61,111,1902],"width":[0.198217235461353,0.155672454833984,0.150427969176694,0.0917739868164062,0.0869056701660156,0.0375828505793463,0.0733894348144531,0.139006645274945],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((351254 512284, 351254 512324, 351294 512324, 351294 512284, 351254 512284));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
18;1;precip;precip;467.382080078125;FALSE;{"hru":[733,574,525,460,340,399,225,287],"width":[0.248782664081207,0.166466522216797,0.108486122936956,0.164854431152344,0.0700042724609375,0.0834116477761521,0.0235801696777344,0.0293487725144276],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((352054 512164, 352054 512204, 352094 512204, 352094 512164, 352054 512164));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
19;1;precip;precip;470.054229736328;FALSE;{"hru":[112,62,403,289],"width":[0.0263212126572355,0.0079681396484375,0.0875392066619998,0.0766006469726563],slope:[14.1421356237309,20,14.1421356237309,20]};1600;POLYGON ((352134 512004, 352134 512044, 352174 512044, 352174 512004, 352134 512004));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
20;1;precip;precip;291.313079833984;FALSE;{"hru":[288,226,5875,169,464,63,113,404],"width":[0.346323823657024,0.332249450683594,0.314164901588763,0.228937530517578,0.362406921386719,0.0316421005530812,0.0473251342773438,0.246009199144318],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350494 511964, 350494 512004, 350534 512004, 350534 511964, 350494 511964));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
21;1;precip;precip;470.445068359375;FALSE;{"hru":[64,115,65,294,174,232],"width":[0.0122213722389222,0.0265609741210938,0.00829315185546875,0.0519373253976231,0.0308387756347656,0.030993106520971],slope:[14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((352254 511844, 352254 511884, 352294 511884, 352294 511844, 352254 511844));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
22;1;precip;precip;283.327911376953;FALSE;{"hru":[66,173,468,233,470,352,69,472],"width":[0.0285568163721685,0.0588432312011719,0.17600901573912,0.106413269042969,0.2280517578125,0.143083493072664,0.0260246276855469,0.124730395007504],slope:[14.1421356237309,20,14.1421356237309,20,20,14.1421356237309,20,14.1421356237309]};1600;POLYGON ((350334 511764, 350334 511804, 350374 511804, 350374 511764, 350334 511764));mannings;{"n":0.3};spill;{"s_rz_max":0.1};tank;{"t_d":0.001};exp;{"t_0":0.001,"m":0.02};;;;;;
